Player,year_start,year_end
Ed O'Bannon,1996,1997
J.J. O'Brien,2016,2016
Johnny O'Bryant,2015,2018
Patrick O'Bryant,2007,2010
Jermaine O'Neal,1997,2014
Shaquille O'Neal,1993,2011
Royce O'Neale,2018,2018
Kyle O'Quinn,2013,2018
Dan O'Sullivan,1991,1996
Fabricio Oberto,2006,2011
Daniel Ochefu,2017,2017
Greg Oden,2009,2014
Lamar Odom,2000,2013
Alan Ogg,1991,1993
Tim Ohlbrecht,2013,2013
Semi Ojeleye,2018,2018
Emeka Okafor,2005,2013
Jahlil Okafor,2016,2018
Mehmet Okur,2003,2012
Victor Oladipo,2014,2018
Brian Oliver,1991,1998
Dean Oliver,2002,2003
Jimmy Oliver,1992,1999
Kevin Ollie,1998,2010
Michael Olowokandi,1999,2007
Kelly Olynyk,2014,2018
Arinze Onuaku,2014,2017
Chinanu Onuaku,2017,2017
Daniel Orton,2012,2014
Cedi Osman,2018,2018
Greg Ostertag,1996,2006
Matt Othick,1993,1993
Kelly Oubre,2016,2018
Bo Outlaw,1994,2008
Travis Outlaw,2004,2014
Doug Overton,1993,2004
Andre Owens,2006,2008
Billy Owens,1992,2001
Chris Owens,2003,2003
Keith Owens,1992,1992
Larry Owens,2011,2012
Ray Owes,1997,1997
Olumide Oyedeji,2001,2003
Zaza Pachulia,2004,2018
Robert Pack,1992,2004
Gerald Paddio,1991,1994
Scott Padgett,2000,2007
Marcus Paige,2018,2018
Milt Palacio,2000,2006
Walter Palmer,1991,1993
Andy Panko,2001,2001
Georgios Papagiannis,2017,2018
Kostas Papanikolaou,2015,2016
Jannero Pargo,2003,2015
Jeremy Pargo,2012,2013
Anthony Parker,1998,2012
Jabari Parker,2015,2017
Smush Parker,2003,2008
Tony Parker,2002,2018
Cherokee Parks,1996,2004
Chandler Parsons,2012,2018
Andrae Patterson,1999,2000
Lamar Patterson,2016,2017
Patrick Patterson,2011,2018
Ruben Patterson,1999,2008
Brandon Paul,2018,2018
Chris Paul,2006,2018
Sasha Pavlovic,2004,2013
Adreian Payne,2015,2018
Cameron Payne,2016,2017
Elfrid Payton,2015,2018
Gary Payton,1991,2007
Gary Payton,2017,2018
Oleksiy Pecherov,2008,2010
Anthony Peeler,1993,2005
Nikola Pekovic,2011,2016
Mike Penberthy,2001,2002
Desmond Penigar,2004,2004
Kirk Penney,2004,2005
Mike Peplowski,1994,1996
Kendrick Perkins,2004,2016
Kosta Perovic,2008,2008
London Perrantes,2018,2018
Elliot Perry,1992,2002
Wesley Person,1995,2005
Alec Peters,2018,2018
Morris Peterson,2001,2011
Johan Petro,2006,2013
Richard Petruska,1994,1994
Derrick Phelps,1995,1995
Bobby Phills,1992,2000
Eric Piatkowski,1995,2008
Paul Pierce,1999,2017
Mickael Pietrus,2004,2013
Kevinn Pinkney,2007,2007
Dexter Pittman,2011,2014
Zoran Planinic,2004,2006
Tibor Pleiss,2016,2016
Marshall Plumlee,2017,2017
Mason Plumlee,2014,2018
Miles Plumlee,2013,2018
Pavel Podkolzin,2005,2006
Jakob Poeltl,2017,2018
Scot Pollard,1998,2008
Quincy Pondexter,2011,2018
Mark Pope,1998,2005
Chris Porter,2001,2001
Otto Porter,2014,2018
Bobby Portis,2016,2018
Kristaps Porzingis,2016,2018
James Posey,2000,2011
Lavor Postell,2001,2003
Vitaly Potapenko,1997,2007
Leon Powe,2007,2011
Dwight Powell,2015,2018
Josh Powell,2006,2014
Kasib Powell,2008,2008
Norman Powell,2016,2018
Roger Powell,2007,2007
Alex Poythress,2017,2018
Phil Pressey,2014,2016
A.J. Price,2010,2015
Brent Price,1993,2002
Ronnie Price,2006,2017
Pablo Prigioni,2013,2016
Tayshaun Prince,2003,2016
Kevin Pritchard,1991,1996
Laron Profit,2000,2006
Gabe Pruitt,2008,2009
Joel Przybilla,2001,2013
Anthony Pullard,1993,1993
Jacob Pullen,2018,2018
Zhou Qi,2018,2018
Tim Quarterman,2017,2017
Chris Quinn,2007,2013
Ivan Rabb,2018,2018
Dino Radja,1994,1997
Vladimir Radmanovic,2002,2013
Aleksandar Radojevic,2000,2005
Miroslav Raduljica,2014,2015
Igor Rakocevic,2003,2003
Peter John Ramos,2005,2005
Mark Randall,1992,1995
Chasson Randle,2017,2017
Julius Randle,2015,2018
Anthony Randolph,2009,2014
Shavlik Randolph,2006,2015
Zach Randolph,2002,2018
Theo Ratliff,1996,2011
Andy Rautins,2011,2011
Allan Ray,2007,2007
Zeljko Rebraca,2002,2006
Eldridge Recasner,1995,2002
Michael Redd,2001,2012
J.J. Redick,2007,2018
Justin Reed,2005,2007
Willie Reed,2016,2018
Bryant Reeves,1996,2001
Khalid Reeves,1995,2000
Don Reid,1996,2003
Ryan Reid,2012,2012
Jared Reiner,2005,2007
Terrence Rencher,1996,1996
Efthimi Rentzias,2003,2003
Shawn Respert,1996,1999
Rodrick Rhodes,1998,2000
Glen Rice,2014,2015
Chris Richard,2008,2010
Jason Richardson,2002,2015
Jeremy Richardson,2007,2009
Josh Richardson,2016,2018
Malachi Richardson,2017,2018
Norm Richardson,2002,2002
Quentin Richardson,2001,2013
Isaiah Rider,1994,2002
Luke Ridnour,2004,2015
Antoine Rigaudeau,2003,2003
Eric Riley,1994,1999
Austin Rivers,2013,2018
Andre Roberson,2014,2018
Anthony Roberson,2006,2009
Terrance Roberson,2001,2001
Brian Roberts,2013,2017
Lawrence Roberts,2006,2007
Stanley Roberts,1992,2000
Ryan Robertson,2000,2000
Bernard Robinson,2005,2007
Chris Robinson,1997,1998
Eddie Robinson,2000,2004
Glenn Robinson,1995,2005
Glenn Robinson,2015,2017
Jamal Robinson,2001,2001
James Robinson,1994,2001
Larry Robinson,1991,2002
Nate Robinson,2006,2016
Rumeal Robinson,1991,1997
Thomas Robinson,2013,2017
Sergio Rodriguez,2007,2017
Lou Roe,1996,1997
Carlos Rogers,1995,2002
Rodney Rogers,1994,2005
Roy Rogers,1997,2000
Rajon Rondo,2007,2018
Sean Rooks,1993,2004
Derrick Rose,2009,2018
Jalen Rose,1995,2007
Malik Rose,1997,2009
Quinton Ross,2005,2011
Terrence Ross,2013,2018
Brandon Roy,2007,2013
Clifford Rozier,1995,1998
Terry Rozier,2016,2018
Ricky Rubio,2012,2018
Guy Rucker,2003,2003
Damjan Rudez,2015,2017
Michael Ruffin,2000,2009
Trevor Ruffin,1995,1996
Stefano Rusconi,1996,1996
Brandon Rush,2009,2017
Kareem Rush,2003,2010
Bryon Russell,1994,2006
D'Angelo Russell,2016,2018
Walker Russell,2012,2012
Arvydas Sabonis,1996,2003
Domantas Sabonis,2017,2018
Robert Sacre,2013,2016
John Salmons,2003,2015
Kevin Salvadori,1997,1998
Soumaila Samake,2001,2003
Cheikh Samb,2008,2009
JaKarr Sampson,2015,2018
Jamal Sampson,2003,2007
Samardo Samuels,2011,2013
Pepe Sanchez,2001,2003
Larry Sanders,2011,2017
Melvin Sanders,2006,2006
Daniel Santiago,2001,2005
Dario Saric,2017,2018
Jason Sasser,1997,1999
Jeryl Sasser,2002,2003
Tomas Satoransky,2017,2018
Kenny Satterfield,2002,2003
Predrag Savovic,2003,2003
Brian Scalabrine,2002,2012
Alex Scales,2006,2006
Steve Scheffler,1991,1997
Luke Schenscher,2006,2007
Dwayne Schintzius,1991,1999
Dennis Schroder,2014,2018
Luis Scola,2008,2017
Brent Scott,1997,1997
Dennis Scott,1991,2000
James Scott,1997,1997
Mike Scott,2013,2018
Shawnelle Scott,1997,2002
Shea Seals,1998,1998
Malik Sealy,1993,2000
Thabo Sefolosha,2007,2018
Josh Selby,2012,2013
Wayne Selden,2017,2018
Mouhamed Sene,2007,2009
Kevin Seraphin,2011,2017
Ansu Sesay,2002,2005
Ramon Sessions,2008,2018
Ha Seung-Jin,2005,2006
Mustafa Shakur,2011,2014
God Shammgod,1998,1998
Walter Sharpe,2009,2009
Casey Shaw,1999,1999
Tornike Shengelia,2013,2014
Jeffrey Sheppard,1999,1999
Paul Shirley,2003,2005
Iman Shumpert,2012,2018
Alexey Shved,2013,2015
Pascal Siakam,2017,2018
Xavier Silas,2012,2012
Garret Siler,2011,2011
Wayne Simien,2006,2007
Ben Simmons,2018,2018
Bobby Simmons,2002,2012
Cedric Simmons,2007,2009
Jonathon Simmons,2016,2018
Kobi Simmons,2018,2018
Lionel Simmons,1991,1997
Miles Simon,1999,1999
Dickey Simpkins,1995,2002
Alvin Sims,1999,1999
Courtney Sims,2008,2009
Henry Sims,2013,2016
Kyle Singler,2013,2018
Sean Singletary,2009,2009
Chris Singleton,2012,2014
James Singleton,2006,2012
Peyton Siva,2014,2014
Brian Skinner,1999,2012
Reggie Slater,1995,2003
Tamar Slay,2003,2005
Donald Sloan,2012,2016
Uros Slokar,2007,2007
Marcus Smart,2015,2018
Charles Smith,1998,2006
Chris Smith,1993,1995
Chris Smith,2014,2014
Craig Smith,2007,2012
Dennis Smith,2018,2018
Donta Smith,2005,2006
Doug Smith,1992,1996
Greg Smith,2012,2016
Ish Smith,2011,2018
J.R. Smith,2005,2018
Jabari Smith,2001,2005
Jason Smith,2008,2018
Jerry Smith,2012,2012
Joe Smith,1996,2011
Josh Smith,2005,2018
LaBradford Smith,1992,1994
Leon Smith,2002,2004
Michael Smith,1995,2001
Mike Smith,2001,2001
Nolan Smith,2012,2013
Reggie Smith,1993,1994
Russ Smith,2015,2016
Steve Smith,1992,2005
Steven Smith,2007,2007
Stevin Smith,1997,1997
Theron Smith,2004,2005
Tony Smith,1991,2001
Tony Snell,2014,2018
Eric Snow,1996,2008
Kirk Snyder,2005,2008
Will Solomon,2002,2009
Darius Songaila,2004,2011
James Southerland,2014,2014
Pape Sow,2005,2007
Vassilis Spanoulis,2007,2007
Marreese Speights,2009,2018
Andre Spencer,1993,1994
Elmore Spencer,1993,1997
Felton Spencer,1991,2002
Tiago Splitter,2011,2017
Latrell Sprewell,1993,2005
Ryan Stack,1999,2000
Jerry Stackhouse,1996,2013
Nik Stauskas,2015,2018
Matt Steigenga,1997,1997
Vladimir Stepania,1999,2004
D.J. Stephens,2014,2014
Joe Stephens,1997,2000
Lance Stephenson,2011,2018
Alex Stepheson,2016,2016
Barry Stevens,1993,1993
DeShawn Stevenson,2001,2013
Kebu Stewart,1998,1998
Larry Stewart,1992,1997
Michael Stewart,1998,2005
Greg Stiemsma,2012,2015
Bryant Stith,1993,2002
David Stockton,2015,2015
Peja Stojakovic,1999,2011
Ed Stokes,1998,1998
Jarnell Stokes,2015,2017
Diamond Stone,2017,2017
Julyan Stone,2012,2018
Awvee Storey,2005,2008
Damon Stoudamire,1996,2008
Salim Stoudamire,2006,2008
Amar'e Stoudemire,2003,2016
D.J. Strawberry,2008,2008
Erick Strickland,1997,2005
Mark Strickland,1995,2003
Derek Strong,1992,2001
Lamont Strothers,1992,1993
Rodney Stuckey,2008,2017
Jared Sullinger,2013,2017
DaJuan Summers,2010,2013
Bruno Sundov,1999,2005
Bob Sura,1996,2005
Greg Sutton,1992,1996
Caleb Swanigan,2018,2018
Mike Sweetney,2004,2007
Robert Swift,2005,2009
Stromile Swift,2001,2009
Aaron Swinson,1995,1995
Pape Sy,2011,2011
Larry Sykes,1996,1996
Brett Szabo,1997,1997
Wally Szczerbiak,2000,2009
Zan Tabak,1995,2001
Yuta Tabuse,2005,2005
Chris Taft,2006,2006
Dragan Tarlac,2001,2001
Jayson Tatum,2018,2018
Edy Tavares,2016,2017
Donell Taylor,2006,2007
Isaiah Taylor,2017,2018
Jeffery Taylor,2013,2015
Jermaine Taylor,2010,2011
Johnny Taylor,1998,2000
Maurice Taylor,1998,2007
Mike Taylor,2009,2009
Tyshawn Taylor,2013,2014
Jeff Teague,2010,2018
Marquis Teague,2013,2014
Mirza Teletovic,2013,2018
Sebastian Telfair,2005,2015
Garrett Temple,2010,2018
Milos Teodosic,2018,2018
Jason Terry,2000,2018
Hasheem Thabeet,2010,2014
Daniel Theis,2018,2018
Adonis Thomas,2014,2014
Billy Thomas,2005,2008
Carl Thomas,1992,1998
Charles Thomas,1992,1992
Etan Thomas,2002,2011
Irving Thomas,1991,1991
Isaiah Thomas,2012,2017
Jamel Thomas,2000,2001
James Thomas,2005,2006
John Thomas,1998,2006
Kenny Thomas,2000,2010
Kurt Thomas,1996,2013
Lance Thomas,2012,2018
Malcolm Thomas,2012,2015
Tim Thomas,1998,2010
Tyrus Thomas,2007,2015
Trey Thompkins,2012,2012
Brooks Thompson,1995,1998
Dijon Thompson,2006,2007
Hollis Thompson,2014,2017
Jason Thompson,2009,2016
Kevin Thompson,1994,1994
Klay Thompson,2012,2018
Mychel Thompson,2012,2012
Stephen Thompson,1992,1992
Tristan Thompson,2012,2018
Al Thornton,2008,2011
Marcus Thornton,2010,2017
Sindarius Thornwell,2018,2018
Jamaal Tinsley,2002,2014
Mike Tobey,2017,2017
Anthony Tolliver,2009,2018
Andy Toolson,1991,1996
Oscar Torres,2002,2003
Axel Toupane,2016,2017
Keith Tower,1994,1997
Karl-Anthony Towns,2016,2018
Robert Traylor,1999,2005
Gary Trent,1996,2004
Jeff Trepagnier,2002,2004
Cezary Trybanski,2003,2004
Jake Tsakalidis,2001,2007
Nikoloz Tskitishvili,2003,2006
Alando Tucker,2008,2010
Anthony Tucker,1995,1995
P.J. Tucker,2007,2018
Ronny Turiaf,2006,2015
Mirsad Turkcan,2000,2000
Hedo Turkoglu,2001,2015
Evan Turner,2011,2018
John Turner,1992,1992
Myles Turner,2016,2018
Wayne Turner,2000,2000
B.J. Tyler,1995,1995
Jeremy Tyler,2012,2014
Edwin Ubiles,2012,2012
Ekpe Udoh,2011,2018
Ime Udoka,2004,2011
Beno Udrih,2005,2017
Roko Ukic,2009,2010
Tyler Ulis,2017,2018
Jarrod Uthoff,2017,2017
Ben Uzoh,2011,2012
Jonas Valanciunas,2013,2018
Denzel Valentine,2017,2018
Nick Van Exel,1994,2006
Keith Van Horn,1998,2006
Logan Vander Velden,1996,1996
David Vanterpool,2001,2001
Fred VanVleet,2017,2018
Ratko Varda,2002,2002
Anderson Varejao,2005,2017
Jarvis Varnado,2013,2014
Greivis Vasquez,2011,2017
David Vaughn,1996,1999
Jacque Vaughn,1998,2009
Rashad Vaughn,2016,2018
Loy Vaught,1991,2001
Jan Vesely,2012,2014
Gundars Vetra,1993,1993
Joao Vianna,1992,1992
Charlie Villanueva,2006,2016
Marcus Vinicius,2007,2008
Fred Vinson,1995,2000
Noah Vonleh,2015,2018
Jake Voskuhl,2001,2009
Slavko Vranes,2004,2004
Stojko Vrankovic,1991,1999
Jackson Vroman,2005,2006
Nikola Vucevic,2012,2018
Sasha Vujacic,2005,2017
Dwyane Wade,2004,2018
Von Wafer,2006,2012
Dajuan Wagner,2003,2007
Dion Waiters,2013,2018
Antoine Walker,1997,2008
Henry Walker,2009,2015
Kemba Walker,2012,2018
Samaki Walker,1997,2006
John Wall,2011,2018
Ben Wallace,1997,2012
Gerald Wallace,2002,2015
John Wallace,1997,2004
Rasheed Wallace,1996,2013
Taurean Waller-Prince,2017,2018
Matt Walsh,2006,2006
Rex Walters,1994,2000
Derrick Walton,2018,2018
Luke Walton,2004,2013
Charlie Ward,1995,2005
Casper Ware,2014,2014
T.J. Warren,2015,2018
Willie Warren,2011,2011
Hakim Warrick,2006,2013
Darius Washington,2008,2008
Eric Washington,1998,1999
Darryl Watkins,2008,2012
C.J. Watson,2008,2017
Earl Watson,2002,2014
Jamie Watson,1995,1999
Maalik Wayns,2013,2014
David Wear,2015,2015
Travis Wear,2015,2015
Clarence Weatherspoon,1993,2005
Kyle Weaver,2009,2011
Marcus Webb,1993,1993
Chris Webber,1994,2008
Briante Weber,2016,2018
Jeff Webster,1996,1996
Martell Webster,2006,2015
Sonny Weems,2009,2016
Bonzi Wells,1999,2008
Bubba Wells,1998,1998
Jiri Welsch,2003,2006
Matt Wenstrom,1994,1994
Robert Werdann,1993,1997
David Wesley,1994,2007
David West,2004,2018
Delonte West,2005,2012
Mario West,2008,2011
Russell Westbrook,2009,2018
Robert Whaley,2006,2006
DeJuan Wheat,1998,1999
Tyson Wheeler,1999,1999
D.J. White,2009,2014
Derrick White,2018,2018
Jahidi White,1999,2005
James White,2007,2013
Okaro White,2017,2018
Rodney White,2002,2005
Royce White,2014,2014
Isaiah Whitehead,2017,2018
Donald Whiteside,1997,1998
Hassan Whiteside,2011,2018
Dwayne Whitfield,1996,1996
Chris Whitney,1994,2004
Shayne Whittington,2015,2016
Andrew Wiggins,2015,2018
C.J. Wilcox,2015,2017
Chris Wilcox,2003,2013
Jacob Wiley,2018,2018
Damien Wilkins,2005,2018
Mike Wilks,2003,2010
Aaron Williams,1994,2008
Alan Williams,2016,2017
Alvin Williams,1998,2007
Brandon Williams,1998,2003
C.J. Williams,2018,2018
Corey Williams,1993,1994
Deron Williams,2006,2017
Derrick Williams,2012,2017
Elliot Williams,2012,2016
Eric Williams,1996,2007
Frank Williams,2003,2005
Jason Williams,1999,2011
Jawad Williams,2009,2011
Jay Williams,2003,2003
Jayson Williams,1991,1999
Jerome Williams,1997,2005
Jordan Williams,2012,2012
Justin Williams,2007,2008
Kenny Williams,1991,1994
Lorenzo Williams,1993,2000
Lou Williams,2006,2018
Marcus Williams,2007,2010
Marcus Williams,2008,2009
Marvin Williams,2006,2018
Matt Williams,2018,2018
Mo Williams,2004,2016
Monty Williams,1995,2003
Reggie Williams,2010,2017
Scott Williams,1991,2005
Sean Williams,2008,2012
Shammond Williams,1999,2007
Shawne Williams,2007,2015
Shelden Williams,2007,2012
Terrence Williams,2010,2013
Travis Williams,1998,1999
Troy Williams,2017,2018
Walt Williams,1993,2003
Corliss Williamson,1996,2007
Dedric Willoughby,2000,2000
D.J. Wilson,2018,2018
Jamil Wilson,2018,2018
Trevor Wilson,1991,1996
Kyle Wiltjer,2017,2017
Kennard Winchester,1991,1993
Dontonio Wingfield,1995,1998
Justise Winslow,2016,2018
Trevor Winter,1999,1999
Jeff Withey,2014,2018
Ruben Wolkowyski,2001,2003
Nate Wolters,2014,2018
Christian Wood,2016,2017
Loren Woods,2002,2008
Qyntel Woods,2003,2006
Randy Woods,1993,1996
Metta World Peace,2000,2017
Antoine Wright,2006,2011
Bracey Wright,2006,2007
Brandan Wright,2008,2018
Chris Wright,2012,2014
Chris Wright,2013,2013
Delon Wright,2016,2018
Dorell Wright,2005,2015
Howard Wright,1991,1993
Julian Wright,2008,2011
Lorenzen Wright,1997,2009
Luther Wright,1994,1994
Sharone Wright,1995,1998
Tony Wroten,2013,2016
A.J. Wynder,1991,1991
Guerschon Yabusele,2018,2018
Vincent Yarbrough,2003,2003
James Young,2015,2017
Joe Young,2016,2018
Korleone Young,1999,1999
Nick Young,2008,2018
Sam Young,2010,2013
Thaddeus Young,2008,2018
Tim Young,2000,2000
Sun Yue,2009,2009
Cody Zeller,2014,2018
Luke Zeller,2013,2013
Tyler Zeller,2013,2018
Wang Zhizhi,2001,2005
George Zidek,1996,1998
Derrick Zimmerman,2006,2006
Stephen Zimmerman,2017,2017
Paul Zipser,2017,2018
Ante Zizic,2018,2018
Ivica Zubac,2017,2018
